gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	homeTeamPointsTotal	guestTeamPointsTotal	hoamTeamAvgPoints	guestTeamAvgPoints
29	LASK	Salzburg	S	0,857142857	1,5	0,642857143	0	2,066666667	0,846153846	45	65	1,607142857	2,321428571
30	Graz	Mattersburg	S	1,344827586	-0,103448276	0,714285714	0,533333333	-0,133333333	-0,071428571	57	38	1,965517241	1,310344828
30	SKN	LASK	N	-0,413793103	0,344827586	-1,642857143	-1,8	0,666666667	0	10	48	0,344827586	1,655172414
30	Altach	WAC	S	0,413793103	-0,965517241	0,214285714	-0,8	-0,6	-1,357142857	31	20	1,068965517	0,689655172
30	Austria	Rapid	N	0,896551724	0,620689655	0,642857143	-0,533333333	0,6	0,642857143	39	49	1,344827586	1,689655172
30	Admira	Salzburg	N	1,172413793	1,413793103	0,714285714	-0,533333333	2,066666667	0,714285714	46	65	1,586206897	2,24137931
31	WAC	Graz	S	0,1	0,7	-0,6	-1,333333333	0,866666667	0,533333333	20	60	0,666666667	2
31	LASK	Austria	S	0,933333333	-0,1	0,666666667	0,133333333	0,333333333	-0,533333333	51	39	1,7	1,3
31	Mattersburg	SKN	U	0,6	-1,733333333	-0,133333333	-0,266666667	-1,666666667	-1,8	38	10	1,266666667	0,333333333
31	Salzburg	Altach	S	2	-0,266666667	2,066666667	0,933333333	0,266666667	-0,8	68	34	2,266666667	1,133333333
31	Rapid	Admira	S	1,2	-0,066666667	0,6	0,866666667	0,4	-0,533333333	52	46	1,733333333	1,533333333
32	Austria	Mattersburg	N	0,709677419	-0,193548387	0,333333333	-0,5625	-0,125	-0,266666667	39	39	1,258064516	1,258064516
32	Altach	LASK	N	0,451612903	0,419354839	0,266666667	-0,875	0,6875	0,133333333	34	54	1,096774194	1,741935484
32	Admira	WAC	S	1	-0,903225806	0,4	-0,6875	-0,5	-1,333333333	46	23	1,483870968	0,741935484
32	Graz	Rapid	S	1,387096774	0,806451613	0,866666667	0,4375	0,75	0,866666667	60	55	1,935483871	1,774193548
32	SKN	Salzburg	N	-0,419354839	1,516129032	-1,666666667	-1,6875	2,0625	0,933333333	11	71	0,35483871	2,290322581
33	LASK	Rapid	N	0,96875	0,71875	0,6875	0,25	0,75	0,6875	57	55	1,78125	1,71875
33	SKN	WAC	N	-0,46875	-0,9375	-1,6875	-1,6875	-0,5	-1,375	11	23	0,34375	0,71875
33	Austria	Admira	U	0,65625	-0,09375	0,25	-0,5625	0,5	-0,6875	39	49	1,21875	1,53125
33	Mattersburg	Altach	N	0,65625	-0,375	-0,125	-0,1875	0,125	-0,875	42	34	1,3125	1,0625
33	Salzburg	Graz	S	2	0,6875	2,0625	1	0,9375	0,4375	74	63	2,3125	1,96875
