gameday;hoamTeam;guestTeam;hoamResultFactor;resultNumeric;homeTotalGoalsShoot;homeTotalGoalsReceived;homeTotalGoalDiff;guestTotalGoalsShoot;guestTotalGoalsReceived;guestTotalGoalDiff;homeTeamGoalsShootAtHome;homeTeamGoalsReceivedAtHome;homeTeamGoalsDiffAtHome;homeTeamGoalsShootAway;homeTeamGoalsReceivedAway;homeTeamGoalsDiffAway;guestTeamGoalsShootAtHome;guestTeamGoalsReceivedAtHome;guestTeamGoalsDiffAtHome;guestTeamGoalsShootAway;guestTeamGoalsReceivedAway;guestTeamGoalsDiffAway;homeTeamPointsTotal;guestTeamPointsTotal
32;SKN;Salzburg;N;-2;21;34;-13;70;23;47;9;34;-25;12;39;-27;41;8;33;29;15;14;11;71
33;LASK;Rapid;N;-2;46;15;31;61;38;23;26;15;11;20;16;4;32;20;12;29;18;11;57;55
33;SKN;WAC;N;-1;21;36;-15;25;55;-30;9;36;-27;12;39;-27;11;19;-8;14;36;-22;11;23
33;Austria;Admira;U;0;46;25;21;58;61;-3;29;25;4;17;26;-9;33;25;8;25;36;-11;39;49
33;Mattersburg;Altach;N;-1;47;26;21;32;44;-12;24;26;-2;23;26;-3;22;20;2;10;24;-14;42;34
33;Salzburg;Graz;S;3;72;8;64;62;40;22;41;8;33;31;15;16;32;17;15;30;23;7;74;63
34;Graz;LASK;S;2;63;17;46;46;33;13;32;17;15;31;27;4;26;17;9;20;16;4;63;57
34;Admira;Mattersburg;U;0;58;25;33;47;53;-6;33;25;8;25;36;-11;24;27;-3;23;26;-3;50;42
34;Altach;SKN;N;-2;33;20;13;21;76;-55;22;20;2;11;24;-13;9;37;-28;12;39;-27;37;11
34;Rapid;Salzburg;N;-3;63;20;43;76;24;52;32;20;12;31;18;13;45;9;36;31;15;16;58;77
34;WAC;Austria;S;1;26;19;7;46;51;-5;11;19;-8;15;36;-21;29;25;4;17;26;-9;26;40
35;Rapid;Altach;S;3;64;24;40;34;47;-13;33;24;9;31;18;13;23;23;0;11;24;-13;58;37
35;Salzburg;Mattersburg;S;1;80;9;71;48;54;-6;45;9;36;35;16;19;24;27;-3;24;27;-3;80;43
35;SKN;Austria;S;2;24;37;-13;47;53;-6;9;37;-28;15;40;-25;29;25;4;18;28;-10;14;40
35;Graz;Admira;S;2;66;18;48;59;62;-3;35;18;17;31;27;4;34;26;8;25;36;-11;66;51
35;LASK;WAC;N;-2;47;17;30;28;56;-28;26;17;9;21;19;2;13;20;-7;15;36;-21;57;29
36;Admira;SKN;N;-2;59;26;33;26;77;-51;34;26;8;25;38;-13;11;37;-26;15;40;-25;51;17
36;Austria;Salzburg;S;4;47;25;22;81;25;56;29;25;4;18;30;-12;46;9;37;35;16;19;40;83
36;Mattersburg;LASK;S;1;48;27;21;48;39;9;24;27;-3;24;28;-4;27;20;7;21;19;2;43;57
36;Altach;Graz;U;0;35;23;12;68;45;23;23;23;0;12;28;-16;37;18;19;31;27;4;37;69
36;WAC;Rapid;U;0;31;20;11;68;43;25;13;20;-7;18;37;-19;37;25;12;31;18;13;32;61
