contest	date	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints
Europa League Qualifikation  Europa League Qualifikation	02.08.2017	2017	08	Mi	18:00	9000	3	AEL Limassol	FK Austria Wien	-1.000000	0.000000	-0.625000	0.000000	0.000000	0.750000	-2.000000	1.000000	0.875000
Bundesliga  Bundesliga	06.08.2017	2017	08	So	16:30	26000	4	SK Rapid Wien	FK Austria Wien	0.000000	-0.500000	-0.444444	-2.000000	-0.500000	0.750000	-1.400000	0.250000	1.111111
Bundesliga  Bundesliga	12.08.2017	2017	08	Sa	18:30	6512	6	FK Austria Wien	LASK	2.000000	0.700000	-0.250000	0.750000	-1.166667	-0.500000	0.000000	1.100000	1.250000
Europa League Qualifikation  Europa League Qualifikation	17.08.2017	2017	08	Do	20:45	15000	5	NK Osijek	FK Austria Wien	-1.000000	0.000000	-0.181818	0.000000	0.000000	1.000000	-1.166667	0.000000	1.272727
Bundesliga  Bundesliga	20.08.2017	2017	08	So	19:00	4500	3	SV Mattersburg	FK Austria Wien	-2.000000	-0.200000	-0.083333	-0.333333	-1.500000	1.000000	-0.857143	0.400000	1.416667
Europa League Qualifikation  Europa League Qualifikation	24.08.2017	2017	08	Do	21:05	8000	4	FK Austria Wien	NK Osijek	-1.000000	1.076923	-1.000000	1.000000	-0.500000	-1.000000	0.000000	1.538462	0.000000
Bundesliga  Bundesliga	27.08.2017	2017	08	So	19:00	3300	3	FC Admira Wacker Mödling	FK Austria Wien	-2.000000	-0.500000	0.000000	-2.000000	-2.500000	0.666667	-0.500000	0.250000	1.428571
Bundesliga  Bundesliga	09.09.2017	2017	09	Sa	18:30	5878	13	FK Austria Wien	Wolfsberger AC	0.000000	1.066667	-1.250000	0.666667	-0.222222	-1.000000	-1.500000	1.533333	0.250000
Bundesliga  Bundesliga	14.09.2017	2017	09	Do	19:00	31409	5	FK Austria Wien	AC Mailand	-4.000000	1.000000	0.000000	0.571429	-0.222222	0.000000	0.000000	1.500000	0.000000
Bundesliga  Bundesliga	17.09.2017	2017	09	So	19:00	4424	3	FK Austria Wien	SKN St. Pölten	4.000000	0.705882	-3.000000	0.000000	-0.222222	-2.000000	-4.000000	1.411765	0.000000
ÖFB-Cup  ÖFB-Cup	20.09.2017	2017	09	Mi	18:30	2050	3	Union Vöcklamarkt	FK Austria Wien	-3.000000	0.000000	0.111111	0.000000	0.000000	0.444444	-0.222222	0.000000	1.500000
Bundesliga  Bundesliga	28.09.2017	2017	09	Do	21:05	16954	4	AEK Athen	FK Austria Wien	0.000000	0.000000	0.263158	0.000000	0.000000	0.444444	0.100000	0.000000	1.578947
Bundesliga  Bundesliga	01.10.2017	2017	10	So	16:30	5850	3	FK Austria Wien	SC Rheindorf Altach	2.000000	1.050000	-0.600000	0.444444	0.090909	0.333333	-2.000000	1.550000	0.600000
Bundesliga  Bundesliga	15.10.2017	2017	10	So	16:30	11345	14	SK Sturm Graz	FK Austria Wien	3.000000	0.500000	0.333333	-0.333333	-2.333333	0.600000	0.090909	1.166667	1.619048
Bundesliga  Bundesliga	19.10.2017	2017	10	Do	21:05	20690	4	FK Austria Wien	HNK Rijeka	-2.000000	1.045455	0.000000	0.600000	-0.166667	0.000000	0.000000	1.545455	1.000000
Bundesliga  Bundesliga	22.10.2017	2017	10	So	16:30	14189	3	FK Austria Wien	SK Rapid Wien	-1.000000	0.913043	-1.000000	0.363636	-0.166667	-1.333333	-0.500000	1.478261	0.400000
ÖFB-Cup  ÖFB-Cup	25.10.2017	2017	10	Mi	20:30	14652	3	FK Austria Wien	SK Rapid Wien	-1.000000	0.833333	-0.666667	0.250000	-0.166667	-1.333333	0.000000	1.416667	0.833333
Bundesliga  Bundesliga	28.10.2017	2017	10	Sa	18:30	5613	3	LASK	FK Austria Wien	0.000000	0.000000	0.000000	-0.500000	-0.666667	0.153846	-0.166667	1.000000	1.360000
Bundesliga  Bundesliga	02.11.2017	2017	11	Do	19:00	7912	5	HNK Rijeka	FK Austria Wien	-3.000000	1.333333	0.000000	0.000000	1.000000	0.153846	-0.153846	1.666667	1.346154
Bundesliga  Bundesliga	05.11.2017	2017	11	So	14:00	5892	3	FK Austria Wien	SV Mattersburg	-2.000000	0.925926	-1.000000	0.153846	0.071429	-0.750000	-1.500000	1.407407	0.333333
Bundesliga  Bundesliga	18.11.2017	2017	11	Sa	18:30	6350	13	FK Austria Wien	FC Admira Wacker Mödling	-1.000000	0.821429	-2.200000	0.000000	0.071429	-2.000000	-2.500000	1.357143	0.200000
Bundesliga  Bundesliga	23.11.2017	2017	11	Do	21:05	17932	5	AC Mailand	FK Austria Wien	4.000000	5.000000	0.000000	0.000000	4.000000	-0.066667	0.071429	3.000000	1.310345
Bundesliga  Bundesliga	26.11.2017	2017	11	So	14:00	3500	3	Wolfsberger AC	FK Austria Wien	-1.000000	0.200000	-0.133333	-1.000000	-1.000000	-0.066667	-0.200000	0.400000	1.266667
Bundesliga  Bundesliga	29.11.2017	2017	11	Mi	18:30	2214	3	SKN St. Pölten	FK Austria Wien	1.000000	-0.400000	-0.096774	-2.000000	-4.000000	-0.066667	-0.125000	0.000000	1.322581
Bundesliga  Bundesliga	07.12.2017	2017	12	Do	19:00	23133	4	FK Austria Wien	AEK Athen	0.000000	0.781250	0.000000	-0.066667	-0.176471	0.000000	0.000000	1.281250	1.000000
Bundesliga  Bundesliga	10.12.2017	2017	12	So	14:00	2717	3	SC Rheindorf Altach	FK Austria Wien	1.000000	0.333333	-0.121212	0.333333	-2.000000	-0.062500	-0.176471	0.500000	1.272727
Bundesliga  Bundesliga	17.12.2017	2017	12	So	16:30	6404	7	FK Austria Wien	SK Sturm Graz	1.000000	0.735294	-0.714286	-0.062500	-0.222222	0.500000	-2.333333	1.235294	1.428571
Bundesliga  Bundesliga	04.02.2018	2018	02	So	16:30	25600	49	SK Rapid Wien	FK Austria Wien	0.000000	0.142857	-0.114286	-1.333333	0.250000	0.000000	-0.222222	1.142857	1.285714
Bundesliga  Bundesliga	10.02.2018	2018	02	Sa	18:30	5575	6	FK Austria Wien	LASK	-2.000000	0.750000	-0.500000	0.000000	-0.210526	-0.333333	-0.666667	1.277778	1.000000
Bundesliga  Bundesliga	17.02.2018	2018	02	Sa	18:30	3600	7	SV Mattersburg	FK Austria Wien	1.000000	0.000000	-0.162162	-0.750000	-0.333333	-0.111111	-0.210526	0.714286	1.243243
Bundesliga  Bundesliga	24.02.2018	2018	02	Sa	16:00	2400	7	FC Admira Wacker Mödling	FK Austria Wien	1.000000	-0.166667	-0.184211	-2.000000	-1.333333	-0.111111	-0.250000	0.666667	1.210526
Bundesliga  Bundesliga	03.03.2018	2018	03	Sa	18:30	5012	7	FK Austria Wien	Wolfsberger AC	2.000000	0.692308	-1.000000	-0.111111	-0.285714	-1.000000	-1.000000	1.179487	0.333333
Bundesliga  Bundesliga	10.03.2018	2018	03	Sa	18:30	6055	7	FK Austria Wien	SKN St. Pölten	4.000000	0.725000	-2.500000	0.000000	-0.285714	-1.000000	-4.000000	1.225000	0.500000
Bundesliga  Bundesliga	31.03.2018	2018	03	Sa	18:30	6089	13	FK Austria Wien	SC Rheindorf Altach	1.000000	0.804878	-0.571429	0.200000	-0.285714	0.500000	-2.000000	1.268293	0.857143
Bundesliga  Bundesliga	07.04.2018	2018	04	Sa	16:00	11318	7	SK Sturm Graz	FK Austria Wien	-2.000000	0.750000	-0.023810	0.500000	-2.000000	0.238095	-0.285714	1.250000	1.309524
Bundesliga  Bundesliga	15.04.2018	2018	04	So	16:30	11260	8	FK Austria Wien	SK Rapid Wien	-4.000000	0.837209	-0.375000	0.238095	-0.181818	-1.000000	0.250000	1.348837	1.125000
Bundesliga  Bundesliga	21.04.2018	2018	04	Sa	18:30	5604	6	LASK	FK Austria Wien	1.000000	0.428571	-0.068182	-0.333333	0.000000	0.045455	-0.181818	1.285714	1.318182
Bundesliga  Bundesliga	28.04.2018	2018	04	Sa	16:00	5420	7	FK Austria Wien	SV Mattersburg	-1.000000	0.711111	-0.375000	0.045455	-0.217391	-0.400000	-0.333333	1.288889	1.000000
Bundesliga  Bundesliga	05.05.2018	2018	05	Sa	18:30	6050	7	FK Austria Wien	FC Admira Wacker Mödling	0.000000	0.673913	-1.285714	0.000000	-0.217391	-1.250000	-1.333333	1.260870	1.000000
Bundesliga  Bundesliga	15.05.2018	2018	05	Di	19:00	2639	10	Wolfsberger AC	FK Austria Wien	1.000000	0.000000	-0.106383	-1.000000	-1.250000	0.000000	-0.217391	0.285714	1.255319
Bundesliga  Bundesliga	20.05.2018	2018	05	So	16:30	3083	5	SKN St. Pölten	FK Austria Wien	2.000000	-0.142857	-0.125000	-1.000000	-4.000000	0.000000	-0.250000	0.428571	1.229167
Europa League Qualifikation  Europa League Qualifikation	13.07.2017	2017	07	Do	20:30	7109	45	SK Sturm Graz	Mladost Podgorica	-1.000000	0.444444	0.000000	0.000000	-2.000000	0.000000	0.000000	1.111111	0.000000
ÖFB-Cup  ÖFB-Cup	16.07.2017	2017	07	So	15:30	1800	3	FC Hard	SK Sturm Graz	-3.000000	0.000000	-0.900000	0.000000	0.000000	-0.166667	-2.000000	0.000000	1.000000
Europa League Qualifikation  Europa League Qualifikation	20.07.2017	2017	07	Do	20:30	5500	4	Mladost Podgorica	SK Sturm Graz	-3.000000	1.000000	-0.545455	0.000000	1.000000	-0.166667	-1.000000	3.000000	1.181818
Bundesliga  Bundesliga	23.07.2017	2017	07	So	19:00	7281	3	SK Sturm Graz	SKN St. Pölten	1.000000	0.750000	-2.125000	-0.166667	-0.333333	-0.250000	-4.000000	1.333333	0.750000
Europa League Qualifikation  Europa League Qualifikation	27.07.2017	2017	07	Do	19:00	15000	4	SK Sturm Graz	Fenerbahce Istanbul	-1.000000	0.769231	0.000000	0.000000	-0.333333	0.000000	0.000000	1.461538	0.000000
Europa League Qualifikation  Europa League Qualifikation	03.08.2017	2017	08	Do	19:30	37701	4	Fenerbahce Istanbul	SK Sturm Graz	0.000000	2.000000	-0.214286	0.000000	1.000000	-0.125000	-0.333333	3.000000	1.357143
Bundesliga  Bundesliga	06.08.2017	2017	08	So	19:00	3800	3	SV Mattersburg	SK Sturm Graz	-1.000000	0.444444	-0.200000	-0.400000	0.000000	-0.125000	-0.285714	1.222222	1.333333
Bundesliga  Bundesliga	12.08.2017	2017	08	Sa	18:30	9478	6	SK Sturm Graz	Wolfsberger AC	1.000000	0.812500	-0.875000	-0.125000	-0.125000	-0.500000	-1.250000	1.437500	0.625000
Bundesliga  Bundesliga	19.08.2017	2017	08	Sa	16:00	21000	7	SK Rapid Wien	SK Sturm Graz	-1.000000	0.555556	-0.058824	-1.000000	1.000000	0.000000	-0.125000	1.333333	1.529412
Bundesliga  Bundesliga	09.09.2017	2017	09	Sa	16:00	6009	13	LASK	SK Sturm Graz	1.000000	0.500000	0.000000	0.000000	0.000000	0.000000	0.000000	1.500000	1.611111
Bundesliga  Bundesliga	16.09.2017	2017	09	Sa	18:30	2888	7	FC Admira Wacker Mödling	SK Sturm Graz	1.000000	0.000000	-0.052632	-1.250000	-1.000000	0.000000	-0.100000	1.000000	1.526316
ÖFB-Cup  ÖFB-Cup	20.09.2017	2017	09	Mi	18:00	1123	4	USK Anif	SK Sturm Graz	-1.000000	0.000000	-0.100000	0.000000	0.000000	0.000000	-0.181818	0.000000	1.450000
Bundesliga  Bundesliga	23.09.2017	2017	09	Sa	18:30	9312	3	SK Sturm Graz	SC Rheindorf Altach	0.000000	0.952381	-0.625000	0.000000	-0.083333	0.500000	-1.750000	1.523810	0.750000
Bundesliga  Bundesliga	30.09.2017	2017	09	Sa	16:00	3463	7	SKN St. Pölten	SK Sturm Graz	-3.000000	0.333333	-0.045455	-0.250000	-3.400000	0.000000	-0.083333	0.666667	1.500000
Bundesliga  Bundesliga	21.10.2017	2017	10	Sa	16:00	9387	6	SK Sturm Graz	SV Mattersburg	1.000000	1.000000	-0.300000	0.000000	0.153846	-0.500000	0.000000	1.565217	1.100000
