gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	homeTeamPointsTotal	guestTeamPointsTotal	hoamTeamAvgPoints	guestTeamAvgPoints						
16	Rapid	Salzburg	N	1,666666667	0,533333333	1,133333333	2,266666667	0,733333333	1,533333333	1,714285714	1,142857143	0,571428571	1,625	1,125	0,5	2,75	0,75	2	1,714285714	0,714285714	1	29	34	1,933333333	2,266666667						
17	Graz	Admira	S	1,75	0,3125	1,4375	1,8125	1,5625	0,25	1,625	0,625	1	1,875	1,75	0,125	2,125	1,125	1	1,5	2	-0,5	35	25	2,1875	1,5625						
17	Salzburg	Mattersburg	S	2,3125	0,375	1,9375	1,125	1,75	-0,625	2,75	0,75	2	1,875	0,875	1	0,875	1,875	-1	1,375	1,625	-0,25	37	14	2,3125	0,875						
17	SKN	Austria	S	0,625	0,875	-0,25	1,75	1,625	0,125	0,5	1,75	-1,25	0,75	2,75	-2	2	1,625	0,375	1,5	1,625	-0,125	4	22	0,25	1,375						
17	LASK	WAC	S	1,3125	0,625	0,6875	1	1,4375	-0,4375	1,625	1,25	0,375	1	1,375	-0,375	1	1,125	-0,125	1	1,75	-0,75	20	14	1,25	0,875						
17	Rapid	Altach	N	1,6875	0,6875	1	1,1875	1,375	-0,1875	1,75	1,375	0,375	1,625	1,125	0,5	2	1,375	0,625	0,375	1,375	-1	29	19	1,8125	1,1875						
18	WAC	Rapid	U	0,941176471	0,529411765	0,411764706	1,647058824	1,294117647	0,352941176	1	1,125	-0,125	0,888888889	1,777777778	-0,888888889	1,666666667	1,444444444	0,222222222	1,625	1,125	0,5	14	29	0,823529412	1,705882353						
18	Mattersburg	LASK	S	1,058823529	0,882352941	0,176470588	1,352941176	1,235294118	0,117647059	0,875	1,875	-1	1,222222222	1,666666667	-0,444444444	1,666666667	1,111111111	0,555555556	1	1,375	-0,375	14	23	0,823529412	1,352941176						
18	Altach	Graz	N	1,235294118	0,647058824	0,588235294	2	1,176470588	0,823529412	2	1,375	0,625	0,555555556	1,333333333	-0,777777778	2,111111111	0,666666667	1,444444444	1,875	1,75	0,125	22	38	1,294117647	2,235294118						
18	Admira	SKN	S	1,764705882	0,529411765	1,235294118	0,647058824	2,117647059	-1,470588235	2,125	1,125	1	1,444444444	2,444444444	-1	0,555555556	1,555555556	-1	0,75	2,75	-2	25	7	1,470588235	0,411764706						
18	Austria	Salzburg	U	1,647058824	0,764705882	0,882352941	2,294117647	0,764705882	1,529411765	2	1,625	0,375	1,333333333	1,555555556	-0,222222222	2,666666667	0,666666667	2	1,875	0,875	1	22	40	1,294117647	2,352941176						
19	Rapid	Mattersburg	U	1,555555556	0,722222222	0,833333333	1,055555556	1,666666667	-0,611111111	1,666666667	1,444444444	0,222222222	1,444444444	1	0,444444444	0,888888889	1,666666667	-0,777777778	1,222222222	1,666666667	-0,444444444	30	17	1,666666667	0,944444444						
19	Graz	SKN	S	2	0,333333333	1,666666667	0,611111111	2,055555556	-1,444444444	2,111111111	0,666666667	1,444444444	1,888888889	1,666666667	0,222222222	0,555555556	1,555555556	-1	0,666666667	2,555555556	-1,888888889	41	7	2,277777778	0,388888889						
19	LASK	Admira	S	1,277777778	0,555555556	0,722222222	1,722222222	1,722222222	0	1,666666667	1,111111111	0,555555556	0,888888889	1,333333333	-0,444444444	2	1	1	1,444444444	2,444444444	-1	23	28	1,277777778	1,555555556						
19	Altach	Austria	S	1,222222222	0,722222222	0,5	1,611111111	1,555555556	0,055555556	1,888888889	1,444444444	0,444444444	0,555555556	1,333333333	-0,777777778	1,888888889	1,555555556	0,333333333	1,333333333	1,555555556	-0,222222222	22	23	1,222222222	1,277777778						
19	WAC	Salzburg	U	0,888888889	0,5	0,388888889	2,222222222	0,777777778	1,444444444	0,888888889	1	-0,111111111	0,888888889	1,777777778	-0,888888889	2,666666667	0,666666667	2	1,777777778	0,888888889	0,888888889	15	41	0,833333333	2,277777778						
20	Salzburg	LASK	U	2,105263158	0,315789474	1,789473684	1,315789474	1,210526316	0,105263158	2,666666667	0,666666667	2	1,6	0,8	0,8	1,7	1,1	0,6	0,888888889	1,333333333	-0,444444444	42	26	2,210526316	1,368421053						
20	SKN	Rapid	N	0,684210526	0,736842105	-0,052631579	1,578947368	1,263157895	0,315789474	0,555555556	1,555555556	-1	0,8	2,6	-1,8	1,7	1,5	0,2	1,444444444	1	0,444444444	7	31	0,368421053	1,631578947						
20	Admira	Altach	S	1,684210526	0,473684211	1,210526316	1,210526316	1,315789474	-0,105263158	2	1	1	1,4	2,4	-1	1,8	1,3	0,5	0,555555556	1,333333333	-0,777777778	28	25	1,473684211	1,315789474						
20	Mattersburg	WAC	S	1,105263158	0,789473684	0,315789474	0,842105263	1,315789474	-0,473684211	0,888888889	1,666666667	-0,777777778	1,3	1,7	-0,4	0,8	0,9	-0,1	0,888888889	1,777777778	-0,888888889	18	16	0,947368421	0,842105263						
20	Austria	Graz	S	1,526315789	0,736842105	0,789473684	2,052631579	1,210526316	0,842105263	1,888888889	1,555555556	0,333333333	1,2	1,5	-0,3	2,2	0,8	1,4	1,888888889	1,666666667	0,222222222	23	44	1,210526316	2,315789474						
21	Mattersburg	Graz	S	1,3	0,8	0,5	1,95	1,2	0,75	1,3	1,6	-0,3	1,3	1,7	-0,4	2,2	0,8	1,4	1,7	1,6	0,1	21	44	1,05	2,2						
21	LASK	SKN	S	1,25	0,55	0,7	0,65	2,25	-1,6	1,7	1,1	0,6	0,8	1,2	-0,4	0,5	1,9	-1,4	0,8	2,6	-1,8	27	7	1,35	0,35						
21	WAC	Altach	U	0,85	0,45	0,4	1,2	1,4	-0,2	0,8	0,9	-0,1	0,9	2,1	-1,2	1,8	1,3	0,5	0,6	1,5	-0,9	16	25	0,8	1,25						
21	Salzburg	Admira	S	2	0,3	1,7	1,75	1,7	0,05	2,4	0,6	1,8	1,6	0,8	0,8	2,1	1	1,1	1,4	2,4	-1	43	31	2,15	1,55						
21	Rapid	Austria	U	1,75	0,75	1	1,5	1,45	0,05	1,7	1,5	0,2	1,8	0,9	0,9	1,8	1,4	0,4	1,2	1,5	-0,3	34	26	1,7	1,3						
22	Altach	Salzburg	N	1,142857143	0,619047619	0,523809524	2	0,714285714	1,285714286	1,8	1,3	0,5	0,545454545	1,363636364	-0,818181818	2,363636364	0,636363636	1,727272727	1,6	0,8	0,8	26	46	1,238095238	2,19047619						
22	Austria	LASK	N	1,476190476	0,666666667	0,80952381	1,285714286	1,142857143	0,142857143	1,8	1,4	0,4	1,181818182	1,454545455	-0,272727273	1,727272727	1,090909091	0,636363636	0,8	1,2	-0,4	27	30	1,285714286	1,428571429						
22	Graz	WAC	N	1,857142857	0,380952381	1,476190476	0,80952381	1,428571429	-0,619047619	2,2	0,8	1,4	1,545454545	1,545454545	0	0,727272727	0,818181818	-0,090909091	0,9	2,1	-1,2	44	17	2,095238095	0,80952381						
22	SKN	Mattersburg	N	0,666666667	0,904761905	-0,238095238	1,285714286	1,571428571	-0,285714286	0,5	1,9	-1,4	0,818181818	2,545454545	-1,727272727	1,272727273	1,454545455	-0,181818182	1,3	1,7	-0,4	7	24	0,333333333	1,142857143						
22	Admira	Rapid	S	1,714285714	0,476190476	1,238095238	1,714285714	1,19047619	0,523809524	2,1	1	1,1	1,363636364	2,363636364	-1	1,636363636	1,454545455	0,181818182	1,8	0,9	0,9	31	35	1,476190476	1,666666667						
23	Rapid	Graz	U	1,681818182	0,727272727	0,954545455	1,772727273	1,181818182	0,590909091	1,636363636	1,454545455	0,181818182	1,727272727	1	0,727272727	2	0,818181818	1,181818182	1,545454545	1,545454545	0	35	44	1,590909091	2						
23	LASK	Altach	S	1,363636364	0,545454545	0,818181818	1,090909091	1,318181818	-0,227272727	1,727272727	1,090909091	0,636363636	1	1,181818182	-0,181818182	1,636363636	1,272727273	0,363636364	0,545454545	1,363636364	-0,818181818	33	26	1,5	1,181818182						
23	Mattersburg	Austria	S	1,363636364	0,727272727	0,636363636	1,454545455	1,5	-0,045454545	1,272727273	1,454545455	-0,181818182	1,454545455	1,545454545	-0,090909091	1,727272727	1,545454545	0,181818182	1,181818182	1,454545455	-0,272727273	27	27	1,227272727	1,227272727						
23	WAC	Admira	N	0,818181818	0,409090909	0,409090909	1,727272727	1,681818182	0,045454545	0,727272727	0,818181818	-0,090909091	0,909090909	1,909090909	-1	2,090909091	1	1,090909091	1,363636364	2,363636364	-1	20	34	0,909090909	1,545454545						
23	Salzburg	SKN	S	1,954545455	0,318181818	1,636363636	0,636363636	2,272727273	-1,636363636	2,363636364	0,636363636	1,727272727	1,545454545	0,727272727	0,818181818	0,454545455	2	-1,545454545	0,818181818	2,545454545	-1,727272727	49	7	2,227272727	0,318181818						
24	Admira	Austria	S	1,782608696	0,47826087	1,304347826	1,434782609	1,52173913	-0,086956522	2,090909091	1	1,090909091	1,5	2,25	-0,75	1,727272727	1,545454545	0,181818182	1,166666667	1,5	-0,333333333	37	27	1,608695652	1,173913043						
24	WAC	SKN	N	0,826086957	0,52173913	0,304347826	0,608695652	2,347826087	-1,739130435	0,75	1	-0,25	0,909090909	1,909090909	-1	0,454545455	2	-1,545454545	0,75	2,666666667	-1,916666667	20	7	0,869565217	0,304347826						
24	Rapid	LASK	S	1,652173913	0,739130435	0,913043478	1,391304348	1,086956522	0,304347826	1,583333333	1,416666667	0,166666667	1,727272727	1	0,727272727	1,75	1	0,75	1	1,181818182	-0,181818182	36	36	1,565217391	1,565217391						
24	Altach	Mattersburg	U	1,043478261	0,608695652	0,434782609	1,391304348	1,47826087	-0,086956522	1,636363636	1,272727273	0,363636364	0,5	1,416666667	-0,916666667	1,333333333	1,416666667	-0,083333333	1,454545455	1,545454545	-0,090909091	26	30	1,130434783	1,304347826						
