contest	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
Bundesliga  Bundesliga	2018	03	Sa	0.666666667	5468	3	LASK	SK Sturm Graz	-2	0.5	0.485714286	0.2	-0.2	0.722222222	0.235294118	1.5	1.771428571	134
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	2950	7	FC Admira Wacker Mödling	SK Sturm Graz	-2	0.2	0.527777778	-0.8	-1.8	0.722222222	0.333333333	1.1	1.805555556	135
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	7154	7	SK Sturm Graz	SC Rheindorf Altach	1	1.27027027	-0.818181818	0.722222222	0.421052632	0.2	-1.666666667	1.837837838	0.636363636	136
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	2248	14	SKN St. Pölten	SK Sturm Graz	-4	0.181818182	0.578947368	-0.8	-3	0.736842105	0.421052632	0.545454545	1.868421053	137
Bundesliga  Bundesliga	2018	04	Sa	0.666666667	8378	7	SK Sturm Graz	SV Mattersburg	3	1.358974359	-0.25	0.736842105	0.6	-0.285714286	-0.2	1.897435897	1.166666667	138
ÖFB-Cup  ÖFB-Cup	2018	04	Mi	0.854166667	15700	4	SK Sturm Graz	SK Rapid Wien	0	1.4	0	0.85	0.6	-0.833333333	0.833333333	1.925	1.166666667	139
Bundesliga  Bundesliga	2018	04	Sa	0.666666667	2500	3	Wolfsberger AC	SK Sturm Graz	1	0.090909091	0.707317073	-0.8	-0.833333333	0.80952381	0.6	0.727272727	1.902439024	140
Bundesliga  Bundesliga	2018	04	So	0.6875	14573	8	SK Sturm Graz	SK Rapid Wien	2	1.357142857	0	0.80952381	0.523809524	-0.833333333	0.714285714	1.857142857	1.153846154	141
Bundesliga  Bundesliga	2018	05	Sa	0.666666667	12113	3	SK Sturm Graz	LASK	2	1.372093023	-0.181818182	0.863636364	0.523809524	-0.166666667	-0.2	1.88372093	1.363636364	142
Bundesliga  Bundesliga	2018	05	So	0.6875	13421	8	SK Sturm Graz	FC Admira Wacker Mödling	2	1.386363636	-1.363636364	0.913043478	0.523809524	-1	-1.8	1.909090909	1	143
Bundesliga  Bundesliga	2018	05	So	0.729166667	5129	7	SC Rheindorf Altach	SK Sturm Graz	0	0.333333333	0.755555556	0.2	-1.571428571	0.958333333	0.523809524	0.583333333	1.933333333	144
ÖFB-Cup  ÖFB-Cup	2017	07	Sa	0.708333333	717	45	FC Kitzbühel	LASK	-1	0	-0.333333333	0	0	-0.166666667	-0.5	0	1.25	145
Bundesliga  Bundesliga	2017	07	Sa	0.770833333	5277	7	LASK	FC Admira Wacker Mödling	3	0.384615385	-1.416666667	-0.166666667	-0.285714286	-1	-1.833333333	1.384615385	0.916666667	146
Bundesliga  Bundesliga	2017	08	Sa	0.666666667	5271	7	LASK	SKN St. Pölten	2	0.571428571	-2.166666667	0.285714286	-0.285714286	-1.333333333	-3	1.5	0.5	147
Bundesliga  Bundesliga	2017	08	So	0.6875	5276	8	LASK	SC Rheindorf Altach	0	0.666666667	-0.769230769	0.5	-0.285714286	0.166666667	-1.571428571	1.6	0.615384615	148
Bundesliga  Bundesliga	2017	08	Sa	0.770833333	19400	6	SK Rapid Wien	LASK	1	0.571428571	0.125	-0.833333333	0.375	0.444444444	-0.285714286	1.071428571	1.5625	149
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	3657	7	Wolfsberger AC	LASK	0	0.166666667	0.058823529	-0.5	-0.833333333	0.444444444	-0.375	0.916666667	1.470588235	150
ÖFB-Cup  ÖFB-Cup	2017	09	Di	0.791666667	800	3	SV Grödig	LASK	0	0	0.055555556	0	0	0.444444444	-0.333333333	0	1.444444444	151
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	5289	4	LASK	SV Mattersburg	0	0.684210526	-0.461538462	0.444444444	-0.3	-0.285714286	-0.666666667	1.421052632	1.076923077	152
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	1952	7	FC Admira Wacker Mödling	LASK	2	0	0.05	-1	-2	0.4	-0.3	0.846153846	1.4	153
Bundesliga  Bundesliga	2017	10	Sa	0.770833333	2418	7	SKN St. Pölten	LASK	-1	-0.153846154	-0.047619048	-1.333333333	-2.857142857	0.4	-0.454545455	0.461538462	1.333333333	154
ÖFB-Cup  ÖFB-Cup	2017	10	Di	0.798611111	7300	3	SV Ried	LASK	3	0	0	0	0	0.4	-0.333333333	0	1.409090909	155
Bundesliga  Bundesliga	2017	11	Sa	0.770833333	4689	7	SC Rheindorf Altach	LASK	-2	0.285714286	-0.130434783	0.166666667	-1.375	0.4	-0.538461538	0.642857143	1.347826087	156
Bundesliga  Bundesliga	2017	11	Sa	0.666666667	5962	14	LASK	SK Rapid Wien	-1	0.875	-0.066666667	0.4	-0.357142857	-0.571428571	0.375	1.416666667	1.2	157
Bundesliga  Bundesliga	2017	11	Mi	0.770833333	4457	4	LASK	Wolfsberger AC	2	0.8	-0.615384615	0.272727273	-0.357142857	-0.428571429	-0.833333333	1.36	0.923076923	158
Bundesliga  Bundesliga	2017	12	Sa	0.770833333	1716	3	SV Mattersburg	LASK	1	0.571428571	0	-0.285714286	-0.571428571	0.416666667	-0.357142857	1.071428571	1.423076923	159
Bundesliga  Bundesliga	2017	12	Sa	0.770833333	3817	7	LASK	FC Admira Wacker Mödling	1	0.814814815	-1.285714286	0.416666667	-0.4	-0.571428571	-2	1.37037037	1	160
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	3877	49	LASK	SKN St. Pölten	1	0.821428571	-2.071428571	0.461538462	-0.4	-1.285714286	-2.857142857	1.428571429	0.428571429	161
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	3893	7	LASK	SC Rheindorf Altach	2	0.827586207	-0.8	0.5	-0.4	-0.142857143	-1.375	1.482758621	0.6	162
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	16695	7	SK Rapid Wien	LASK	2	0.6875	0.1	-0.571428571	0.444444444	0.6	-0.4	1.3125	1.533333333	163
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	2635	7	Wolfsberger AC	LASK	-3	0.142857143	0.032258065	-0.428571429	-1	0.6	-0.5	0.857142857	1.483870968	164
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	4145	7	LASK	SV Mattersburg	2	0.90625	-0.333333333	0.6	-0.294117647	-0.125	-0.571428571	1.53125	1.2	165
Bundesliga  Bundesliga	2018	03	Sa	0.666666667	2500	14	FC Admira Wacker Mödling	LASK	-1	0.2	0.181818182	-0.571428571	-1.875	0.6875	-0.294117647	0.933333333	1.575757576	166
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	2956	6	SKN St. Pölten	LASK	-2	-0.133333333	0.205882353	-1.285714286	-2.625	0.6875	-0.222222222	0.4	1.617647059	167
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	3776	7	SC Rheindorf Altach	LASK	-2	0.125	0.257142857	-0.142857143	-1.444444444	0.6875	-0.105263158	0.5625	1.657142857	168
Bundesliga  Bundesliga	2018	05	Sa	0.666666667	6009	7	LASK	SK Rapid Wien	-2	1.027777778	0.117647059	0.6875	0	-0.25	0.444444444	1.694444444	1.411764706	169
Bundesliga  Bundesliga	2018	05	So	0.6875	5468	8	LASK	Wolfsberger AC	-2	0.945945946	-0.866666667	0.529411765	0	-0.75	-1	1.648648649	0.8	170
Bundesliga  Bundesliga	2018	05	So	0.729166667	2901	7	SV Mattersburg	LASK	1	0.625	0.184210526	-0.125	-0.75	0.388888889	0	1.125	1.605263158	171
ÖFB-Cup  ÖFB-Cup	2017	07	Di	0.770833333	700	45	SK Austria Klagenfurt	SKN St. Pölten	1	0	-2	0	-7	-1.375	-2.625	0	0.375	172
