,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
274,Bundesliga,Sa. 10.08.2019,3,,,3551,SC Rheindorf Altach,Dietmar Kühbauer,3-5-2 flach,170,SK Rapid Wien,5279a3e6c023c67b36ffb21d02b927be902d3695573eea3f1820cccc7b4fe3ec,2:1,2019/20,17:00,12800
275,Bundesliga,So. 18.08.2019,4,,,170,SK Rapid Wien,,,122,SK Sturm Graz,4c81de8ce5073d9651bb2f3707ce8eca3ab4b42ecc61becf7b24a786faed8943,-:-,2019/20,17:00,0
276,Bundesliga,Sa. 24.08.2019,5,,,413,LASK,,,170,SK Rapid Wien,3c9092b7c7594972b7ed20f44007f990577fd78d9610a69491f054a9697bacb2,-:-,2019/20,17:00,0
277,Bundesliga,So. 01.09.2019,6,,,170,SK Rapid Wien,,,14,FK Austria Wien,ad9b4ba6b9a6c55809abbb989b8356d505a3f85d2502dade569584a47b3cb2b9,-:-,2019/20,17:00,0
278,Bundesliga,Sa. 14.09.2019,7,,,503,FC Admira Wacker Mödling,,,170,SK Rapid Wien,cd7632ae29d301848285a8949da7242cbc9fd2b797896484ca624134be0f2815,-:-,2019/20,-,0
279,Bundesliga,Sa. 21.09.2019,8,,,170,SK Rapid Wien,,,2446,WSG Tirol,075a3a4d6270ad70ae74ee1d1a628fe43b8625cd495b4bb954faa0bfc88a8d20,-:-,2019/20,-,0
280,Bundesliga,Sa. 28.09.2019,9,,,4467,TSV Hartberg,,,170,SK Rapid Wien,f5452214eabe7dd37a7c0e7602a554e8d580b2dd80136bf084a6bf55dad5e013,-:-,2019/20,-,0
281,Bundesliga,Sa. 05.10.2019,10,,,170,SK Rapid Wien,,,856,SV Mattersburg,f25f7422440d28baa6e29f8e2ec6822f9fefd8809a86ebbeda67814258620e96,-:-,2019/20,-,0
282,Bundesliga,Sa. 19.10.2019,11,,,4441,Wolfsberger AC,,,170,SK Rapid Wien,5019dfb6d13f67f8bdf4a1ea9caa4810fa30e19b77a620accc65c95118bad945,-:-,2019/20,-,0
283,Bundesliga,Sa. 26.10.2019,12,,,170,SK Rapid Wien,,,409,Red Bull Salzburg,34736e5e2a2321c7be2c944619f9e7136356f65e04ed7c2eaa20ee1c19587ef3,-:-,2019/20,-,0
