,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers,weekday,day,month,year
3263,2. Liga,2017-05-19 19:30:00,35,Thomas Silberberger,4-3-3 offensiv,2446,WSG Wattens,Thomas Letsch,4-4-2 Raute,37024,FC Liefering,a7cdc2fd8547333a658641b0b134948f0dde3958b8763e89f5e02adf2f785570,2:3,2016/17,19:30,273,4,19,5,2017
3264,2. Liga,2017-05-26 19:30:00,36,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,Klaus Schmidt,4-4-1-1,2157,FC Blau Weiß Linz,5365ef1f74e447a3c579475dc7496c5e2f14568734656f1f1bb879719d1307e4,0:0,2016/17,19:30,1045,4,26,5,2017
3266,2. Liga,2016-07-29 20:30:00,2,Wilhelm Wahlmüller,4-2-3-1 ,2157,FC Blau Weiß Linz,Oliver Glasner,4-4-1-1,413,LASK,30200052c2453e1aba1733bb0794bd5902679669bfd5c9137552f8f470ea089d,2:1,2016/17,20:30,6290,4,29,7,2016
3269,2. Liga,2016-08-16 18:30:00,5,Oliver Glasner,4-4-1-1,413,LASK,René Wagner,4-1-4-1,17444,SC Wiener Neustadt,879a8f167351270a4f970499603476837680fceddad1acfd0f19f5286d847205,1:2,2016/17,18:30,1040,1,16,8,2016
3270,2. Liga,2016-08-19 18:30:00,6,Thomas Silberberger,4-1-4-1,2446,WSG Wattens,Oliver Glasner,4-4-1-1,413,LASK,c568268f6f255b8c10e7cede6281e6b756583598e9581e9832f4428f52f99b20,4:0,2016/17,18:30,2516,4,19,8,2016
3271,2. Liga,2016-08-26 20:30:00,7,Oliver Glasner,4-4-1-1,413,LASK,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,327fdcd45dbbbbe0aa752dce0d4a64d54f2bf421f368aaadacccd08d43dbb03a,1:2,2016/17,20:30,1200,4,26,8,2016
3272,2. Liga,2016-09-09 20:30:00,8,Oliver Glasner,4-4-1-1,413,LASK,Jürgen Halper,4-2-3-1 ,7443,Floridsdorfer AC,13750882d319a49e065018a9c2e18100ba57e95b7c1a679e4420f1ba414448e1,2:3,2016/17,20:30,1100,4,9,9,2016
3273,2. Liga,2016-09-13 18:30:00,9,Masanori Hamayoshi,4-1-4-1,10044,SV Horn,Oliver Glasner,4-4-1-1,413,LASK,c80f4b71b5ea9d647684ce34728c5ed6f179a2efd631950972edf856a70e3a6e,1:1,2016/17,18:30,2309,1,13,9,2016
3275,2. Liga,2016-09-23 20:30:00,11,Oliver Glasner,4-4-1-1,413,LASK,Max Babler,4-1-4-1,2157,FC Blau Weiß Linz,0a58924e6530cc4d0da7a44585622d2edbbbf1904e05120e676d23d38ae2db09,2:0,2016/17,20:30,5000,4,23,9,2016
3278,2. Liga,2016-10-18 18:30:00,14,René Wagner,4-4-2 doppel 6,17444,SC Wiener Neustadt,Oliver Glasner,4-4-1-1,413,LASK,a8a3afa8829c37528cb473e921fe66529c0738a5c0846aaad35bca82c55f4b01,2:2,2016/17,18:30,2013,1,18,10,2016
3279,2. Liga,2016-10-21 18:30:00,15,Oliver Glasner,4-4-1-1,413,LASK,Thomas Silberberger,4-4-2,2446,WSG Wattens,27e9b80f581e77469d95ea2dd58a1857fe5197a35c641181a2f0a9bd44a55b20,3:2,2016/17,18:30,1400,4,21,10,2016
3280,2. Liga,2016-10-31 18:30:00,16,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Oliver Glasner,4-4-1-1,413,LASK,51b4575f7747a78685386e7392f9058ebe76e78ba8d32bf68cce92da3266c73a,3:1,2016/17,18:30,2100,0,31,10,2016
3281,2. Liga,2016-04-11 18:30:00,17,Jürgen Halper,4-3-3 offensiv,7443,Floridsdorfer AC,Oliver Glasner,4-4-1-1,413,LASK,0fe457651d96180905bf9db6f762a48b4b0446a20080bb7dea818538fedcda54,1:0,2016/17,18:30,2118,0,11,4,2016
3282,2. Liga,2016-11-18 18:30:00,18,Oliver Glasner,4-4-1-1,413,LASK,Masanori Hamayoshi,4-3-3 offensiv,10044,SV Horn,fac64d07d1df455335ddc6881144aed73cc8558babdfb0a29c2845fff50f9bdc,1:4,2016/17,18:30,920,4,18,11,2016
3284,2. Liga,2016-02-12 20:30:00,20,Klaus Schmidt,4-4-2 doppel 6,2157,FC Blau Weiß Linz,Oliver Glasner,4-4-1-1,413,LASK,5a53718043420f80b2eb2e1d28b9a4f235649f1b5fbff32df506590c0cfc80f3,4:0,2016/17,20:30,4012,4,12,2,2016
3287,2. Liga,2017-10-03 18:30:00,23,Oliver Glasner,4-4-1-1,413,LASK,René Wagner,4-4-2 doppel 6,17444,SC Wiener Neustadt,badbdc84c470a7f60db0797d0f6941a8ae941a2b3c7323820d003f90e0f7a5f5,0:2,2016/17,18:30,1207,1,3,10,2017
3288,2. Liga,2017-03-14 18:30:00,24,Thomas Silberberger,4-1-4-1,2446,WSG Wattens,Oliver Glasner,4-4-1-1,413,LASK,da83477a85dabee38b6631c20d845e107cbc90a17d1492ec31038f8d584bf199,2:0,2016/17,18:30,2558,1,14,3,2017
3289,2. Liga,2017-03-17 20:30:00,25,Oliver Glasner,4-4-1-1,413,LASK,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,6758ff768ea457aa45682368317aa1a01a65993842b93f99b383d50f6bd84942,2:2,2016/17,20:30,950,4,17,3,2017
3290,2. Liga,2017-03-31 18:30:00,26,Oliver Glasner,4-4-1-1,413,LASK,Franz Maresch,4-4-2 doppel 6,7443,Floridsdorfer AC,95cd0aab46ee863e7262e784bb2623c33d5484f30176d1f580d67200d06e70c3,1:3,2016/17,18:30,1025,4,31,3,2017
