,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
229,Bundesliga,So. 19.05.2019,31,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,14,FK Austria Wien,651f241ff8469e0518873730ab38b5b965bde39014150fb9fea6bfc7ce9a3ca8,2:0,2018/19,17:00,11252
230,Bundesliga,So. 26.05.2019,32,,,122,SK Sturm Graz,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,1dd105bdbe24f5239745a31efe20cef7ad08ab7a81989b1c4c75f013e82c401a,2:1,2018/19,17:00,6377
231,ÖFB-Cup,Sa. 21.07.2018,1.Runde,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,19644,Union Gurten,65bbe7940d55d7690ddeb5b212b323547fdea783d440c944c06c4441d4a05091,1:2,2018/19,18:00,600
232,ÖFB-Cup,Di. 25.09.2018,2.Runde,,,28760,SK Austria Klagenfurt,Christian Ilzer,4-3-3 offensiv,4441,Wolfsberger AC,fb00f8662480fd08c51aba6e8258011214df910ade81d0d05f9fe95ba8602acf,4:0,2018/19,18:30,2312
233,ÖFB-Cup,Mi. 31.10.2018,Achtelfinale,,,170,SK Rapid Wien,Christian Ilzer,3-5-2 flach,4441,Wolfsberger AC,c8fd214a09fac2cf83555032555d2dd037b5391ff73a40c6aca4768af6e19c85,0:3,2018/19,18:00,3755
234,Bundesliga,Fr. 27.07.2018,1,,,2444,FC Wacker Innsbruck,Thomas Letsch,4-3-1-2,14,FK Austria Wien,9e2ade517af5d236a8cd40654c0b8f38363e4d7b191c0ad767a547febf627496,2:1,2018/19,20:45,13155
235,Bundesliga,So. 05.08.2018,2,Thomas Letsch,4-3-1-2,14,FK Austria Wien,,,4441,Wolfsberger AC,6893d43ff4869ff8fa5002fab5508d6ec0522b3a916846cbd8058a7d8ef1067c,1:0,2018/19,17:30,4727
236,Bundesliga,Sa. 11.08.2018,3,Thomas Letsch,4-3-1-2,14,FK Austria Wien,,,409,Red Bull Salzburg,9e94e856aa3b669258f529dcc057d9414ff707c76ef7ca2f13ead0913a796412,2:0,2018/19,17:00,10734
237,Bundesliga,So. 19.08.2018,4,,,503,FC Admira Wacker Mödling,Thomas Letsch,4-3-3 defensiv,14,FK Austria Wien,8047fbc54b2fd842fedc5b16cd539becd0d8c6542162106c395e01c18955fdb6,4:0,2018/19,17:00,10055
238,Bundesliga,Sa. 25.08.2018,5,Thomas Letsch,3-4-1-2,14,FK Austria Wien,,,2662,SKN St. Pölten,03aaebcc4ab5cff72765f3c727096b852fdae06ab07e99a679336a68c63e7cbd,0:0,2018/19,17:00,5424
239,Bundesliga,Sa. 01.09.2018,6,,,856,SV Mattersburg,Thomas Letsch,4-3-1-2,14,FK Austria Wien,c4d5b1fa120600df2852e33c6a84193d5b0611b8865fde489998cb066b1f408a,2:1,2018/19,17:00,9046
240,Bundesliga,So. 16.09.2018,7,Thomas Letsch,4-3-3 defensiv,14,FK Austria Wien,,,170,SK Rapid Wien,4a12785834f637a74d27c4a4a46cb25ebfc1b18d21868913115307122c058c2b,0:1,2018/19,17:00,26000
241,Bundesliga,So. 23.09.2018,8,,,413,LASK,Thomas Letsch,4-3-3 defensiv,14,FK Austria Wien,0d6c4c5ad6aee4a81f8def92072de2729a8e4c65ce9ab7c5462d2012ff2c8950,0:3,2018/19,14:30,10076
242,Bundesliga,So. 30.09.2018,9,Thomas Letsch,4-3-3 offensiv,14,FK Austria Wien,,,4467,TSV Hartberg,5a1d9c1ab65e77049a44cd009617daaafe12cd40b6f784317fc0a623afe607b7,0:1,2018/19,14:30,4058
243,Bundesliga,Sa. 06.10.2018,10,Thomas Letsch,4-3-3 offensiv,14,FK Austria Wien,,,3551,SC Rheindorf Altach,4b0b01fccc1c5388749b234fdecc9cf4ea463630ed2be716a8888b75a1b0b186,2:0,2018/19,17:00,3712
244,Bundesliga,So. 21.10.2018,11,,,122,SK Sturm Graz,Thomas Letsch,4-3-3 defensiv,14,FK Austria Wien,6cb86b3d1a647411b28ec40b0092774b4bb325004e9cffd28fad9ec82a0874eb,1:1,2018/19,17:00,11265
245,Bundesliga,Sa. 27.10.2018,12,Thomas Letsch,4-3-3 offensiv,14,FK Austria Wien,,,2444,FC Wacker Innsbruck,1cdf1ecf08142163defb9480f827d9013de045a36f13ebac83d492621a8e348e,0:0,2018/19,17:00,5532
246,Bundesliga,So. 04.11.2018,13,,,4441,Wolfsberger AC,Thomas Letsch,4-1-3-2,14,FK Austria Wien,027b7e14d2b9a9eda3568d167c59e34df4e74547d44d5cd4b0c035f5f09cee5a,2:3,2018/19,14:30,8540
247,Bundesliga,So. 11.11.2018,14,,,409,Red Bull Salzburg,Thomas Letsch,4-3-2-1,14,FK Austria Wien,69ba397f6e708d2478c5b82e8a034c680db6d6fe6ed0bcf4b7d0614b0fb37815,0:2,2018/19,17:00,10507
248,Bundesliga,Sa. 24.11.2018,15,Thomas Letsch,4-3-3 offensiv,14,FK Austria Wien,,,503,FC Admira Wacker Mödling,90bed415edfafdab883baf84721575e8102e81e6716c27112580bc678099f7d8,1:2,2018/19,17:00,2857
249,Bundesliga,Sa. 01.12.2018,16,,,2662,SKN St. Pölten,Thomas Letsch,4-3-3 offensiv,14,FK Austria Wien,7f35ad39d0ac81b61db17a4ea04aec1fa18276b1c7af0a1fd4f26d58acc6e81f,2:0,2018/19,17:00,9025
250,Bundesliga,So. 09.12.2018,17,Thomas Letsch,4-3-3 offensiv,14,FK Austria Wien,,,856,SV Mattersburg,59d8d0ddd12419794297708d3d3c0810cfae2c0d38de104a93cfde6121297d8b,2:1,2018/19,14:30,2700
251,Bundesliga,So. 16.12.2018,18,,,170,SK Rapid Wien,Thomas Letsch,4-1-3-2,14,FK Austria Wien,c8e462c25643ae79aab88fe090f742f4c8bad250e9e9e82b1aa6ab9632761c14,6:1,2018/19,17:00,16582
252,Bundesliga,Fr. 22.02.2019,19,Thomas Letsch,4-4-2 doppel 6,14,FK Austria Wien,,,413,LASK,4fadea0dcd5b4ab9d2ba3f40edd09a9bbb8f7b2019abbddbce9650f414ae7b31,2:0,2018/19,19:30,6009
253,Bundesliga,So. 03.03.2019,20,,,4467,TSV Hartberg,Thomas Letsch,4-4-2 doppel 6,14,FK Austria Wien,d6b92835d6d141d9ecf52a3e50c62551d47160bbe77aa2e58ed52fdd51672daf,4:2,2018/19,14:30,8422
254,Bundesliga,So. 10.03.2019,21,,,3551,SC Rheindorf Altach,Thomas Letsch,4-4-2 doppel 6,14,FK Austria Wien,b4afb9c1752cbc5879b361b9b76e0762962dc11c39c5ffb80c4fa381dd632a10,1:3,2018/19,17:00,9380
