,pred,actual
1051,0.646,0
1052,-0.062,0
1053,3.328,4
1054,1.329,2
1055,0.108,0
1056,-1.141,-2
1057,1.168,1
1058,-0.092,0
1059,-0.261,-1
1060,0.088,0
1061,1.084,2
1062,-2.22,-3
1063,0.466,1
1064,0.836,1
1065,0.284,0
1066,0.926,1
1067,-0.431,0
1068,0.394,0
1069,2.083,2
1070,1.636,2
1071,-0.205,0
1072,0.5,1
1073,0.851,1
1074,1.575,2
1075,0.863,1
1076,-0.74,-1
1077,-1.838,-1
1078,1.286,2
1079,0.347,1
1080,0.384,1
1081,0.701,1
1082,-1.017,-2
1083,-0.015,0
1084,-2.92,-3
1085,2.787,3
1086,-0.328,-1
1087,-0.956,-2
1088,0.064,0
1089,-0.024,0
1090,-4.657,-6
1091,0.387,0
1092,-1.798,-2
1093,-4.797,-6
1094,1.83,2
1095,0.153,0
1096,-0.724,-1
1097,-1.955,-3
1098,0.467,0
1099,-3.517,-5
1100,-1.257,-2
1101,0.89,1
1102,0.663,1
1103,1.735,2
1104,-2.004,-4
1105,2.012,3
1106,0.536,0
1107,0.088,0
1108,-0.163,-1
1109,0.256,1
1110,-1.011,-2
1111,-0.054,0
1112,3.603,5
1113,0.669,1
1114,-0.46,-1
1115,2.192,2
1116,-1.34,-2
1117,1.398,2
1118,0.59,1
1119,1.134,1
1120,-0.935,-2
1121,-0.103,0
1122,1.077,1
1123,-1.032,-1
1124,0.46,0
1125,0.737,1
1126,-2.115,-2
1127,0.113,0
1128,0.155,0
1129,1.819,2
1130,1.465,2
1131,3.349,4
1132,2.104,3
1133,0.724,1
1134,-0.581,-1
1135,-0.915,-1
1136,2.176,3
1137,-0.288,0
1138,-3.953,-5
1139,-0.135,0
1140,-0.906,-1
1141,0.809,1
1142,-1.377,-1
1143,-1.512,-2
1144,-0.367,-1
1145,-2.808,-4
1146,0.194,1
1147,1.84,2
1148,0.156,1
1149,0.563,1
1150,-0.353,0
1151,1.881,3
1152,0.762,0
1153,-1.173,-1
1154,-2.113,-3
1155,2.186,3
1156,-0.688,-1
1157,-2.333,-3
1158,-1.149,-2
1159,0.545,0
1160,0.247,0
1161,0.697,0
1162,2.471,3
1163,-0.575,-1
1164,-0.328,0
1165,0.83,0
1166,-5.213,-6
1167,0.335,0
1168,0.749,1
1169,0.43,1
1170,0.925,1
1171,0.135,0
1172,-0.439,-1
1173,0.487,0
1174,1.616,2
1175,-0.669,-1
1176,0.937,1
1177,0.043,0
1178,0.224,1
1179,-2.124,-3
1180,1.349,2
1181,-0.129,-1
1182,-0.61,-1
1183,0.801,1
1184,-0.181,0
1185,-0.904,-2
1186,0.301,0
1187,0.085,0
1188,-0.678,-1
1189,-0.009,0
1190,0.352,1
1191,-1.645,-2
1192,1.062,2
1193,1.253,2
1194,1.712,2
1195,-1.716,-3
1196,0.329,0
1197,0.438,1
1198,-2.976,-5
1199,2.051,3
1200,-0.338,-1
1201,0.43,0
1202,-1.209,-2
1203,2.644,3
